brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
NISSAN  Leaf,LEAF Tekna e+ 62kWh (Automata) Átvizsgált / ProPilot / Navigáció /,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2020. 07.,26 000 km,11 990 000 Ft
BMW  3-as sorozat,M3 3.2i 24V (343 LE) MAGYARORSZÁGI - MANUÁLIS - TELJESEN FELÚJÍTOTT!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2001. 01.,307 629 km,11 998 000 Ft
FIAT  Ducato,DUCATO 2.2 Mjet LH2 3.5 t Magyarországi 1. Tulaj !,CarNet Riegler Kft.,(Győr),Márkakereskedő,2021. 10.,91 000 km,12 063 730 Ft  + Áfa
FORD  Kuga,KUGA 2.5 FHEV ST-Line X AWD CVT M.o.-i..szervizkönyv..20 000.-km,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2021. 12.,20 400 km,12 150 000 Ft
FIAT  Ducato,DUCATO 2.3 Mjet LWB 3.5 t Euro 6 Magyarországi 1. Tulaj ! Egyedi emelhető ponyvamagasság 1450-2200 mm,CarNet Riegler Kft.,(Győr),Márkakereskedő,2019. 04.,133 500 km,12 179 300 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Wild Trak (Automata) Magyarországi.Gyári garanciás!Azonnal átvehető!Teljes szerviz infó!,Hovány Csoport,(Szeged),Márkakereskedő,2020. 02.,27 941 km,12 350 000 Ft  + Áfa
RENAULT  Arkana,ARKANA 1.3 TCe mild Hybrid R.S. Line EDC Mo-i! ÁFA-s! Végig vezetett szervizkönyv! Gyári garancia!,CarNet Triplex Kft.,(Budakalász),Márkakereskedő,2022. 10.,25 878 km,12 490 000 Ft
TOYOTA  Camry,CAMRY 2.5 Hybrid Executive CVT +2 év használtautó garancia,CarNet M5 Kft.,(IX. kerület),Márkakereskedő,2020. 02.,21 457 km,12 490 000 Ft
NISSAN  Leaf,LEAF N-Connecta e+ 62kWh (Automata) 1.TUL! MO-i! 28.341 KM!,Nissan Centrum,(XI. kerület),Márkakereskedő,2022. 01.,28 341 km,12 490 000 Ft
TOYOTA  C-HR,C-HR 1.8 Hybrid Executive MY21 e-CVT ÁFÁ-s -Nettó:9.841.732ft Gyári Garanciás - Full Extrás!,Hovány Csoport,(Szeged),Márkakereskedő,2022. 07.,8 650 km,12 499 000 Ft
HYUNDAI  Tucson,TUCSON 1.6 T-GDI hybrid Executive (Automata) MO-i sérülésmentes garanciális 1. tulajtól,CarNet Autó-Forrás Kft.,(Veszprém),Márkakereskedő,2021. 04.,52 000 km,12 499 000 Ft
HYUNDAI  Kona,KONA 2.0 T-GDi N DCT MO-i garanciális!,CarNet Autó-Forrás Kft.,(Veszprém),Márkakereskedő,2021. 10.,28 300 km,12 499 000 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Raptor (Automata),Hovány Csoport,(Békéscsaba),Márkakereskedő,2020. 01.,83 050 km,12 500 000 Ft  + Áfa
FORD  Kuga,KUGA 2.5 PHEV ST-Line CVT M.o.-i..szervizkönyv..11000.-km,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2022. 04.,11 100 km,12 500 000 Ft
BMW  2-es sorozat,220d M Sport (Automata) ,Renault Renniss,(Salgótarján),Márkakereskedő,2020. 11.,41 000 km,12 500 000 Ft
BMW  2-es sorozat,220d xDrive M Sport (Automata) ,Renault Renniss,(Salgótarján),Márkakereskedő,2020. 11.,41 000 km,12 500 000 Ft
BMW  5-ös sorozat,530i xDrive (Automata) Touring! 1.TUL! ÁFÁS!,Nissan Centrum,(XI. kerület),Márkakereskedő,2018. 12.,129 974 km,12 590 000 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Raptor (Automata) M.O.-I. 1 TULAJ. GYÁRI GAR. VEZ.SZERVIZ. FULL EXTRA!,Hovány Csoport,(Szeged),Márkakereskedő,2019. 11.,120 123 km,12 670 000 Ft  + Áfa
TOYOTA  Rav4,RAV 4 Rav4 2.5 Hybrid Executive AWD e-CVT Magyarországi. szervizkönyv. garanciális. ÁFÁ-s,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2020. 01.,94 423 km,12 690 000 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Wild Trak (Automata) ÁFÁ-S! MAGYARORSZÁGI! GYÁRI GARANCIÁS!,Hovány Csoport,(Szentendre),Márkakereskedő,2020. 09.,28 360 km,12 890 000 Ft  + Áfa
FORD  Kuga,KUGA 2.5 PHEV Titanium X CVT Magyarországi. Áfás!,Hovány Csoport,(Kecskemét),Márkakereskedő,2021. 03.,47 417 km,12 900 000 Ft
VOLVO  S60,S60 2.0 ,Wallis Motor Pest Kft.,(XIV. kerület),Márkakereskedő,2019. 06.,45 800 km,12 950 000 Ft
BMW  5-ös sorozat,540i xDrive (Automata) Mo-i! ÁFA-s! Végig vezetett szervizkönyv! Harman Kardon hifi! Okoskulcs!,CarNet Triplex Kft.,(Budakalász),Márkakereskedő,2017. 09.,92 719 km,12 990 000 Ft
FORD  Galaxy,GALAXY 2.0 EcoBlue SCR Titanium AWD (Automata) M.o.-i..szervizkönyv,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2019. 09.,95 000 km,12 990 000 Ft
BMW  5-ös sorozat,530i (Automata) ,Petrányi-Autó Kft.,(XI. kerület),Márkakereskedő,2019. 06.,102 451 km,12 990 000 Ft
MERCEDES-BENZ  E-osztály,E 200 4Matic 9G-TRONIC Mo.-i. garanciális,Hovány Csoport,(Kecskemét),Márkakereskedő,2019. 04.,96 860 km,12 990 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Executive Leather (Automata) Executive VIP JBL hangrendszerrel PLATÓDOBOZZAL végig márkaszervizelt,Hovány Csoport,(Szeged),Márkakereskedő,2021. 05.,58 640 km,12 990 000 Ft  + Áfa
FORD  Kuga,KUGA 2.5 FHEV ST-Line AWD CVT M.o.-i..szervizkönyv,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2021. 01.,42 300 km,12 990 000 Ft
MERCEDES-BENZ  A-osztály,A 160 Style / ÁFÁ-s / Magyarországi / 6500 Km,Hovány Csoport,(Budaörs),Márkakereskedő,2022. 07.,6 500 km,12 990 000 Ft
MERCEDES-BENZ  CLA-osztály,CLA 180 d Progressive 7G-DCT / Magyarországi / Holttérfigyelő / Távolságtartó tempomat / MULTIBEAM LED,Hovány Csoport,(Budaörs),Márkakereskedő,2021. 10.,24 800 km,12 990 000 Ft
JEEP  Cherokee,CHEROKEE 2.2D Multi Jet II Overland (Active Drive II.) (Automata) Szalon állapot!!!! kevesett futott!!!!,CarNet Auto-Fort Kft.,(XXI. kerület),Márkakereskedő,2020. 06.,45 000 km,12 990 000 Ft
PEUGEOT  3008,3008 1.6 PureTech GT Pack EAT8 ,Hering Autóház Kft.,(Szolnok),Márkakereskedő,2021. 03.,39 517 km,12 995 000 Ft
FORD  Kuga,KUGA 2.5 FHEV Titanium CVT Hibrid. Sérülésmentes. M.o-i. Gyári garanciás!,Hovány Csoport,(Kecskemét),Márkakereskedő,2021. 11.,6 500 km,13 099 000 Ft
FORD  Kuga,KUGA 2.5 FHEV ST-Line X CVT Magyarországi. garanciális. szervizkönyv,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2021. 01.,22 072 km,13 190 000 Ft
FORD  Kuga,KUGA 2.5 PHEV ST-Line X CVT ZÖLD RENDSZÁM! 60km HATÓTÁV! MAKULÁTLAN ÁLLAPOTBAN! MAGYARORSZÁGI! GARANCIÁS!,Hovány Csoport,(Szentendre),Márkakereskedő,2022. 01.,28 225 km,13 250 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.4 D-4D 4x4 Double Executive Invincible (Automata) NAVI. PDC,CarNet M5 Kft.,(IX. kerület),Márkakereskedő,2019. 02.,251 563 km,13 335 000 Ft
MERCEDES-BENZ  GLC-osztály,GLC 250 d 4Matic 9G-TRONIC Coupe AMG Styling. Distronic plus. 360 kamera. holttérfigyelő. Hangulatvilágítás,Hovány Csoport,(Kecskemét),Márkakereskedő,2017. 09.,105 300 km,13 390 000 Ft
CITROEN  C5 Aircross,C5 AIRCROSS 1.6 PureTech Hybrid Shine EAT8 Magyarországi. végig szervizelt. garanciális valós KM. leinformálható!,Hovány Csoport,(Kecskemét),Márkakereskedő,2020. 12.,34 952 km,13 450 000 Ft
FORD  Kuga,KUGA 2.5 PHEV ST-Line X CVT SZENTENDRÉRŐL! HÍVJON MOST!,Hovány Csoport,(Szentendre),Márkakereskedő,2021. 11.,9 638 km,13 490 000 Ft
BMW  X1,X1 sDrive18d xLine (Automata) ,Miskolc Autóház Kft.,(Miskolc),Márkakereskedő,2022. 01.,16 535 km,13 499 000 Ft
MERCEDES-BENZ  B-osztály,B 180,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 12.,7 300 km,13 590 000 Ft
FORD  Kuga,KUGA 2.5 PHEV ST-Line X CVT Szentendrén Vezetői autóakcióban!,Hovány Csoport,(Szentendre),Márkakereskedő,2022. 03.,25 236 km,13 590 000 Ft
PEUGEOT  3008,3008 1.6 PureTech PHEV Allure Pack EAT8 2024.04-ig gyári garanciás. Makulátlan állapot,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 04.,19 381 km,13 600 000 Ft
FORD  Kuga,KUGA 2.5 PHEV ST-Line X CVT Magyarországi! Márkaszervizelt!2026-ig gyári garancia! 60km e-hatótáv!,Hovány Csoport,(Szeged),Márkakereskedő,2021. 01.,41 367 km,13 790 000 Ft
SKODA  Octavia,OCTAVIA Combi 2.0 TDI SCR Style DSG ÁFA-s!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 01.,7 250 km,13 843 000 Ft
VOLVO  S90,S90 2.0 [T4] Momentum Pro Geartronic GARANCIÁLIS. MAGYAR. 1GAZDÁS. VEZETETT SZKÖNYV!,Hovány Csoport,(Szeged),Márkakereskedő,2020. 02.,23 003 km,13 900 000 Ft
FORD  Ranger,RANGER 3.2 TDCi 4x4 Wild Trak (Automata) EURO6,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2019. 09.,42 711 km,13 957 300 Ft
NISSAN  Leaf,Leaf Tekna e+ 62kWh Aut.,Gedeon 72 Bt.,(Törökbálint),Minősített Prémium kereskedő,2021. 05.,19 100 km,13 985 000 Ft
MERCEDES-BENZ  GLC-osztály,GLC 250 4Matic 9G-TRONIC AMG belső tér. ÁFÁ-s autó,Hovány Csoport,(Kecskemét),Márkakereskedő,2018. 07.,124 280 km,13 990 000 Ft
BMW  5-ös sorozat,520d xDrive (Automata) Touring 1. TUL! 78.200 KM! ÁFÁS!,Nissan Centrum,(XI. kerület),Márkakereskedő,2020. 01.,78 200 km,13 990 000 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Wild Trak (Automata) Gyári garancia!,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 02.,14 429 km,13 990 000 Ft  + Áfa
CITROEN  C5 Aircross,C5 AIRCROSS 1.6 PureTech Hybrid Shine EAT8 Garanciális! Magasan felszerelt vezetői autó!,Hovány Csoport,(Szeged),Márkakereskedő,2021. 10.,37 170 km,13 990 000 Ft
MERCEDES-BENZ  C-osztály,C 300 e 4Matic EQ Power 9G-TRONIC Plug-in Hybrid. Mo.-i 1. tulajdonos. ISP 2024.10.-ig,Hovány Csoport,(Kecskemét),Márkakereskedő,2020. 10.,100 625 km,14 390 000 Ft
VOLKSWAGEN  Arteon,ARTEON 2.0 TSI R-Line DSG Áfás/Magyarországi/Gyári garanciás/Azonnal átvehető/,Hovány Csoport,(Szeged),Márkakereskedő,2021. 08.,28 404 km,14 399 000 Ft
SKODA  Octavia,OCTAVIA Combi 2.0 TDI SCR Style DSG ÁFA-s!,Hovány Csoport,(Szeged),Márkakereskedő,2023. 02.,11 400 km,14 478 000 Ft
VOLVO  XC40,XC40 2.0 [B3] MHEV Core DCT Azonnal Elvihető! ÁFÁ-s!,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 11.,11 057 km,14 490 000 Ft
BMW  2-es sorozat,218i DKG ÁFÁ-s - Live Cockpit Professional - Innovációs csomag,Autó Kontúr,(Szeged),Márkakereskedő,2022. 01.,12 100 km,14 490 000 Ft
FORD  Mustang,MUSTANG Fastback 5.0 Ti-VCT V8 GT (Automata),CarNet For-Top Kft.,(Tatabánya),Márkakereskedő,2017. 06.,35 000 km,14 490 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Active Gyári garanciás kiváló legendás Japán Pick-Up!!!Akciós Ár! THM 9.9%,Hovány Csoport,(Szeged),Márkakereskedő,2022. 01.,29 435 km,14 499 000 Ft  + Áfa
MERCEDES-BENZ  GLC-osztály,GLC 350 e 4Matic 7G-TRONIC LED LÁMPÁK.PANORÁMA TETŐ.GARANCIA.BŐR BELSŐ.FRISS SZERVIZ,Hovány Csoport,(Kecskemét),Márkakereskedő,2017. 01.,130 843 km,14 500 000 Ft
MERCEDES-BENZ  A-osztály,A 180 Progressive 7G-DCT 3 év Garancia és ingyen szerviz!!!Multibeam.Carplay.Kamera. ÁFÁS!!,Hovány Csoport,(Budaörs),Márkakereskedő,2022. 06.,14 000 km,14 790 000 Ft
BMW  X2,X2 M35i (Automata) / Magyar / 1.Tulaj / Gyári garancia / Panoráma / Harman/kardon / Led / KeylessGo,Hovány Csoport,(Budaörs),Márkakereskedő,2020. 07.,29 800 km,14 790 000 Ft
INFINITI  QX50,QX50 2.0T SENSORY AWD 1.TUL! ÁFÁS!,Nissan Centrum,(XI. kerület),Márkakereskedő,2019. 09.,29 912 km,14 990 000 Ft
KIA  Sorento,"1.6T-GDI, HEV, Gold, 4WD, A/T, Frissen szervizelve! Mo.-i, 1 Tualjdonos, Gyári fényezés, Gyári garanciális!",Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2021. 02.,15 010 km,14 990 000 Ft
VOLKSWAGEN  Tiguan,"1.4 TSI Plug-In Hybrid, Elegance DSG, Mo.-i, 1 Tulajdonos, Gyári garanciális, Gyári Fényezés, Vezetett szervizkönyv, Téli Nyári gumik!",Zakar és Társa Kft.,(Cegléd),Márkakereskedő,2021. 05.,52 196 km,14 990 000 Ft
VOLVO  V90,V90 2.0 [T6] Recharge R-Design AWD Geartronic Facelift! Vezetett szervizkönyv!,CarNet For-Top Kft.,(Győr),Márkakereskedő,2020. 12.,73 000 km,14 999 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Executive Leather Magyarországi.Gyári garanciás!Azonnal átvehető!,Hovány Csoport,(Szeged),Márkakereskedő,2021. 08.,10 955 km,15 199 000 Ft  + Áfa
MERCEDES-BENZ  A-osztály,A 250 e Style 8G-DCT Plug-in hybrid ,Wallis Motor Pest Kft.,(XIII. kerület),Márkakereskedő,2022. 04.,6 155 km,15 490 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Active TSS (Automata) HOVÁNY - A PICKUP SPECIALISTA!,Hovány Csoport,(Szeged),Márkakereskedő,2022. 06.,6 632 km,15 490 000 Ft  + Áfa
ALFA ROMEO  Stelvio,STELVIO 2.0 Super Q4 (Automata),CarNet Riegler Kft.,(Győr),Márkakereskedő,2021. 09.,47 800 km,15 490 000 Ft
VOLVO  S60,S60 2.0 [B4] MHEV R-Design Geartronic AZONNAL ELVIHETŐ! ÁFÁS! NAGYÉRTÉKŰ TARTOZÉK AKCIÓ!,Hovány Csoport,(Békéscsaba),Márkakereskedő,2021. 10.,15 200 km,15 500 000 Ft
MERCEDES-BENZ  C-osztály,C 400 4Matic 9G-TRONIC MAGYAR.GARANCIA.KITŰNŐ ÁLLAPOTBA,Hovány Csoport,(Kecskemét),Márkakereskedő,2019. 11.,38 915 km,15 500 000 Ft
VOLVO  S60,S60 2.0 [B4] MHEV R-Design Geartronic Az autó ÁFÁ-s!,Hovány Csoport,(Kecskemét),Márkakereskedő,2021. 10.,15 180 km,15 500 000 Ft
BMW  2-es sorozat,218d DKG Luxury Line - 7.800.-km - Vonóhorog - Harman Kardon hangrendszer - ÁFÁ-s,Autó Kontúr,(Szeged),Márkakereskedő,2022. 03.,6 400 km,15 690 000 Ft
VOLVO  V60,V60 2.0 [B4] MHEV Inscription Geartronic I. TULAJ! ÁFA-s! GARANIÁLIS 2027.02-ig! SZERVIZKÖNYV! SOK EXTRA!,Hovány Csoport,(Szeged),Márkakereskedő,2022. 02.,55 409 km,15 699 000 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Stormtrak (Automata) GARANCIÁLIS!M.o-i!Vezetett sz.könyv!,CarNet For-Top Kft.,(Győr),Márkakereskedő,2022. 09.,31 000 km,15 746 730 Ft
KIA  Niro,e-Niro 65kWh Platinum,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2022. 09.,4 513 km,15 899 000 Ft
MERCEDES-BENZ  A-osztály,A 180 d AMG Line 8G-DCT Mo.-i. Garanciális. ISP 2026.05.-ig. AMG Line. Panoráma tető,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 05.,28 330 km,15 900 000 Ft
MERCEDES-BENZ  C-osztály,C 300 T de EQ Power 9G-TRONIC,Hovány Csoport,(Kecskemét),Márkakereskedő,2020. 12.,66 625 km,15 950 000 Ft
BMW  7-es sorozat,750d xDrive (Automata) ,Petrányi-Autó Kft.,(XI. kerület),Márkakereskedő,2017. 03.,185 643 km,15 990 000 Ft
BMW  X6,X6 xDrive40d (Automata) ,Petrányi-Autó Kft.,(XI. kerület),Márkakereskedő,2017. 05.,178 512 km,15 990 000 Ft
FORD  Mustang,MUSTANG Mach-E Standard range (Automata) M.o.-i..szervizkönyv.15000.-km,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2021. 07.,15 040 km,15 990 000 Ft
TOYOTA  Rav4,RAV 4 Rav4 2.5 Hybrid Adventure AWD e-CVT,CarNet M5 Kft.,(IX. kerület),Márkakereskedő,2022. 01.,16 768 km,15 990 000 Ft
FORD  Transit,TRANSIT Tourneo Custom 2.0 TDCi 320 L2H1 Titanium X mHEV M.o.-i..szervizkönyv.22 000.-km.Áfás!,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2022. 05.,22 000 km,15 990 000 Ft
KIA  Sportage,SPORTAGE 1.6 T-GDI HEV GT Line 4WD (Automata) Ülés csomag. 4x4!,Gablini Kft.,(XV. kerület),Márkakereskedő,2022. 05.,22 000 km,15 999 000 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Raptor (Automata) GARANCIÁLIS!M.o-i!Vezetett sz.könyv!,CarNet For-Top Kft.,(Győr),Márkakereskedő,2021. 01.,82 000 km,16 243 300 Ft
FORD  Ranger,RANGER 2.0 TDCi 4x4 Wild Trak (Automata) M.o.-i..szervizkönyv.13 000.-km,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2021. 12.,13 400 km,16 243 300 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Executive Leather (Automata) Gyári garanciás kiváló legendás Japán Pick-Up!!!Akciós Ár! THM 9.9%,Hovány Csoport,(Szeged),Márkakereskedő,2021. 05.,55 131 km,16 299 000 Ft  + Áfa
JEEP  Wrangler,WRANGLER 2.8 CRD EURO6 Rubicon (Automata) Recon Edition ! Magyarországi 1. Tulajdonos 35e Km ! Hard Top -Soft Top,CarNet Riegler Kft.,(Győr),Márkakereskedő,2019. 06.,35 600 km,16 390 000 Ft
BMW  X6,X6 xDrive30d M Sport Edition (Automata) Áfás!M.o-i!Vezetett sz.könyv!Éjjellátó!Bang&Olufsen!Adaptív LED!Soft Close!,CarNet For-Top Kft.,(Győr),Márkakereskedő,2019. 04.,85 000 km,16 449 000 Ft
MERCEDES-BENZ  CLA-osztály,CLA 250 e EQ Power AMG Line 8G-DCT / AMG Line / Ambiente / Panoráma / 2év garancia,Hovány Csoport,(Budaörs),Márkakereskedő,2020. 12.,24 000 km,16 490 000 Ft
MERCEDES-BENZ  Vito,VITO 114 CDI BlueTec Tourer Base E (Automata) ÁFa-s / Magyarországi / TOLATÓKAMERA / 18.500KM / gyári garancia,Hovány Csoport,(Budaörs),Márkakereskedő,2022. 06.,18 500 km,16 490 000 Ft
MERCEDES-BENZ  CLA-osztály,CLA 250 e EQ Power AMG Line 8G-DCT / AMG Line / Ambiente / Panoráma / 2év garancia,Hovány Csoport,(Budaörs),Márkakereskedő,2020. 12.,24 000 km,16 490 000 Ft
BMW  2-es sorozat,218i DKG Msport - ÁFÁ-s - Adaptive M futómű - Harman Kardon hangrendszer,Autó Kontúr,(Szeged),Márkakereskedő,2022. 03.,6 400 km,16 490 000 Ft
ALFA ROMEO  Tonale,TONALE 1.5 e-Hybrid Edizione Speciale DCT Azonnal vihető !,CarNet Riegler Kft.,(Győr),Márkakereskedő,2022. 08.,15 600 km,16 490 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Invincible (Automata) Gyári garanciás kiváló legendás Japán Pick-Up!!!Akciós Ár! THM 9.9%,Hovány Csoport,(Szeged),Márkakereskedő,2020. 12.,64 022 km,16 499 000 Ft  + Áfa
VOLVO  XC90,XC90 2.0 [D5] Inscription Geartronic (7 személyes ),Hovány Csoport,(Békéscsaba),Márkakereskedő,2019. 01.,119 270 km,16 500 000 Ft
MERCEDES-BENZ  C-osztály,C 180 9G-TRONIC Mild hybrid drive Bemutató Autó,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 06.,120 000 km,16 500 000 Ft
ALFA ROMEO  Giulia,GIULIA 2.0 Sprint (Automata) Bemutató autó. Veloce ülés. Napfénytető Áfás,CarNet Autóház Kft.,(Budaörs),Márkakereskedő,2022. 11.,13 000 km,16 690 000 Ft
MERCEDES-BENZ  E-osztály,E 300 de 9G-TRONIC EQ Power ÁFA-S/ Magyarországi/ Distronic/ Memoriás ülés/ Panorama/ Multibeam,Hovány Csoport,(Budaörs),Márkakereskedő,2020. 01.,90 000 km,16 790 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Invincible (Automata) Magyarországi.Gyári Garancia. Zárható plató doboz!,Hovány Csoport,(Szeged),Márkakereskedő,2021. 09.,52 126 km,16 800 000 Ft  + Áfa
MERCEDES-BENZ  GLE-osztály,GLE 350 d 4Matic 9G-TRONIC AMG Line! Airmatic! Vezetett szervizkönyv!,CarNet For-Top Kft.,(Győr),Márkakereskedő,2018. 10.,85 000 km,16 890 000 Ft
MERCEDES-BENZ  A-osztály,A 180 d Progressive 8G-DCT / ÁFÁ-s / Ambiente / KeylessGo / Vaj bőr belső,Hovány Csoport,(Budaörs),Márkakereskedő,2022. 07.,7 500 km,16 890 000 Ft
MERCEDES-BENZ  A-osztály,A 180 d AMG Line AMG Line.Panorámatető.MUltibeam.Adaptív tempomat.ÁFÁS,Hovány Csoport,(Budaörs),Márkakereskedő,2020. 06.,15 000 km,16 900 000 Ft
MERCEDES-BENZ  A-osztály,A 180 d AMG Line 8G-DCT Áfás. hibátlan. Garanciális,Hovány Csoport,(Szeged),Márkakereskedő,2022. 07.,6 700 km,16 990 000 Ft
HYUNDAI  Santa Fe,SANTA FE 2.2 CRDi Executive 4WD DCT Áfás! Full extra. Nagyon szép állapotban van,CarNet Autó-Forrás Kft.,(Veszprém),Márkakereskedő,2020. 09.,14 200 km,16 999 000 Ft
HYUNDAI  Santa Fe,SANTA FE 2.2 CRDi Executive 4WD DCT Áfás! Full extra. Gyönyörű állapotban van,CarNet Autó-Forrás Kft.,(Veszprém),Márkakereskedő,2020. 12.,11 400 km,16 999 000 Ft
BMW  X3,X3 xDrive20i M Sport (Automata) Mo-i. gyári garanciás,Hovány Csoport,(Kecskemét),Márkakereskedő,2021. 06.,20 488 km,17 099 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Invincible (Automata) Gyári garanciás kiváló legendás Japán Pick-Up!!!Akciós Ár! THM 9.9%,Hovány Csoport,(Szeged),Márkakereskedő,2021. 05.,60 098 km,17 250 000 Ft  + Áfa
CITROEN  C5,C5 X 1.6 PureTech Hybrid Shine Plus EAT8 Zöld rendszám. Full. Napfénytető. ÁFÁ-s,CarNet Autóház Kft.,(Budaörs),Márkakereskedő,2022. 10.,10 000 km,17 290 000 Ft
FORD  Mustang,MUSTANG Fastback 55 5.0 Ti-VCT (Automata) LIMITÁLT KIADÁS!,Hovány Csoport,(Szentendre),Márkakereskedő,2020. 05.,25 240 km,17 400 000 Ft
VOLVO  XC60,XC60 2.0 [T8] Twin Engine R-Design AWD Geartronic,Hovány Csoport,(Kecskemét),Márkakereskedő,2019. 01.,49 570 km,17 490 000 Ft
VOLVO  XC60,XC60 2.0 [T8] Twin Engine R-Design AWD Geartronic,Hovány Csoport,(Kecskemét),Márkakereskedő,2019. 01.,49 570 km,17 490 000 Ft
FORD  Kuga,KUGA 2.5 PHEV Vignale CVT,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2021. 01.,19 229 km,17 490 000 Ft
KIA  Sorento,SORENTO 1.6 T-GDI Hybrid Kryptonite (Automata) Azonnal vihető! Garanciális!,Gablini Kft.,(XV. kerület),Márkakereskedő,2023. 03.,13 221 km,17 499 000 Ft
MERCEDES-BENZ  CLA-osztály,CLA-OSZTÁLY CLA 250 e Progressive 8G-DCT Plug-in hybrid 70km elektromos hatótáv - 9.000 km! - Garanciás! - 1tulajdonos,Hovány Csoport,(Szeged),Márkakereskedő,2021. 11.,9 200 km,17 499 000 Ft
VOLVO  S60,S60 2.0 [B4] MHEV R-Design Geartronic Az autó ÁFÁ-s!,Hovány Csoport,(Kecskemét),Márkakereskedő,2022. 03.,18 827 km,17 500 000 Ft
VOLVO  S60,S60 2.0 [T8] Recharge Inscription AWD Geartronic GARANIÁLIS! SZERVIZKÖNYV! KEVÉS KILOMÉTER! SOK EXTRA!,Hovány Csoport,(Szeged),Márkakereskedő,2022. 03.,43 513 km,17 700 000 Ft
VOLVO  XC90,XC90 2.0 [T8] Twin Engine Inscription Geartronic (7 személyes ) FULL EXTRA! SZERVIZKÖNYV! I. TULAJDONOS! ÁFA-s!,Hovány Csoport,(Szeged),Márkakereskedő,2017. 06.,149 905 km,17 790 000 Ft
FORD  Mustang,MUSTANG Fastback 55 5.0 Ti-VCT (Automata) GT 55 HÍVJON MOST!,Hovány Csoport,(Szentendre),Márkakereskedő,2019. 01.,6 542 km,17 890 000 Ft
FORD  Mustang,MUSTANG Fastback 55 5.0 Ti-VCT (Automata) GT 55,Hovány Csoport,(Szentendre),Márkakereskedő,2019. 01.,6 542 km,17 890 000 Ft
HYUNDAI  Ioniq 5,"IONIQ 5 72,6kWh First Edition AWD Magyarországi! Leinformálható! Garanciális!",Gablini Kft.,(XV. kerület),Márkakereskedő,2021. 11.,59 900 km,17 900 000 Ft
FORD  Mustang,MUSTANG Mach-E Extended range AWD (Automata) M.o.-i..szervizkönyv.30000.-km,CarNet Auto-Fort Kft.,(IV. kerület),Márkakereskedő,2022. 06.,30 000 km,17 900 000 Ft
BMW  7-es sorozat,750d xDrive (Automata) ,Petrányi-Autó Kft.,(XI. kerület),Márkakereskedő,2017. 03.,185 643 km,17 990 000 Ft
CUPRA  Formentor,FORMENTOR VZ 2.0 TSI 4Drive DSG ÁFÁ-s,CarNet Auto-Fort Kft.,(IX. kerület),Márkakereskedő,2022. 03.,14 131 km,17 990 000 Ft
TOYOTA  Hilux,HI LUX Hilux 2.8 D-4D 4x4 Double Invincible (Automata) Gyári garanciás kiváló legendás Japán Pick-Up!!!Akciós Ár! THM 9.9%,Hovány Csoport,(Szeged),Márkakereskedő,2022. 06.,15 050 km,17 990 000 Ft  + Áfa
