brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
BMW  2-es sorozat,M2 ,Magánszemély,(III. kerület),Minősített magánszemély,2018. 05.,108 000 km,16 990 000 Ft
MERCEDES-BENZ  CLA-osztály,CLA 250 Progressive 7G-DCT,Magánszemély,(Debrecen),Minősített magánszemély,2020. 10.,37 880 km,17 990 000 Ft
MERCEDES-BENZ  E-osztály,E 300 de 4Matic 9G-TRONIC EQ Power,Magánszemély,(Nyíregyháza),Minősített magánszemély,2021. 07.,54 942 km,21 490 000 Ft
FORD  Mondeo,Mondeo Kombi 2.0 TDCi Vignale,Magánszemély,(VI. kerület),Minősített magánszemély,2016. 08.,159 000 km,6 000 000 Ft
SUZUKI  SX4 S-Cross,SX4 S-Cross 1.4 Hybrid GL+,Magánszemély,(Kisrozvágy),Minősített magánszemély,2019. 08.,31 000 km,6 099 000 Ft
RENAULT  Captur,Captur 1.3 TCe Intens,Magánszemély,(Sződ),Minősített magánszemély,2019. 12.,41 198 km,5 799 000 Ft
LEXUS  RX,RX 450h Luxury CVT,Magánszemély,(Biatorbágy),Minősített magánszemély,2009. 07.,264 000 km,5 690 000 Ft
MERCEDES-BENZ  C-osztály,C 160,Magánszemély,(Budakeszi),Minősített magánszemély,2016. 05.,50 200 km,6 300 000 Ft
VOLKSWAGEN  Golf,Golf Sportsvan 1.4 TSI BMT Allstar,Magánszemély,(XVII. kerület),Minősített magánszemély,2016. 10.,65 105 km,6 000 000 Ft
VOLVO  V40,V40 1.5 [T3] Inscription Geartronic,Magánszemély,(XIII. kerület),Minősített magánszemély,2017. 06.,68 700 km,6 560 000 Ft
