	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
46	OPEL  Combo	1.6 CDTi 2.2t. Magyarországi szervizkönyves!	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 04.	148 394 km	2 689 000 Ft  + Áfa	148 394 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
49	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2019. 05.	168 382 km	2 699 000 Ft  + Áfa	168 382 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
50	OPEL  Combo	1.6 CDTi 2.2t. M.o-i szervizkönyves, polcos!	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 04.	125 012 km	2 789 000 Ft  + Áfa	125 012 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
51	OPEL  Corsa	Corsa 1.3 CDTI Enjoy Start-Stop 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2017. 04.	175 128 km	2 789 000 Ft	175 128 km	75 LE	1248 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
52	PEUGEOT  208	208 1.6 BlueHDi Active 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2018. 06.	183 223 km	2 790 000 Ft	183 223 km	75 LE	1560 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
53	OPEL  Adam	Adam 1.4 Glam	MOM Auto Kft.	(III. kerület)	Minősített Prémium kereskedő	2015. 02.	137 000 km	2 799 000 Ft	137 000 km	87 LE	1398 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
54	NISSAN  Note	NOTE 1.5 dCi Visia EURO6 1 Év garanciával!Magyarországi! Leinformálható! Törésmentes! Azonnal Elvihető!	BK 2020 Kft.	(III. kerület)	Minősített Prémium kereskedő	2016. 09.	103 162 km	2 799 000 Ft	103 162 km	90 LE	1461 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
55	OPEL  Astra	Astra Sports Tourer 1.7 CDTI Active 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2013. 10.	168 679 km	2 799 000 Ft	168 679 km	110 LE	1686 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
56	SKODA  Fabia	Fabia 1.2 TSi Ambition	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2016. 11.	181 253 km	2 799 000 Ft	181 253 km	90 LE	1197 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
57	OPEL  Astra	Astra 1.4 Enjoy 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2014. 09.	160 832 km	2 849 000 Ft	160 832 km	101 LE	1398 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
58	PEUGEOT  Partner	Partner 1.6 BlueHDi Active L1 EURO6	Bálint AGRO Kft.	(Vértesszőlős)	Minősített Prémium kereskedő	2017. 10.	122 100 km	2 910 000 Ft  + Áfa	122 100 km	99 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
59	PEUGEOT  208	208 1.6 BlueHDi Style	Bálint AGRO Kft.	(Vértesszőlős)	Minősített Prémium kereskedő	2018. 07.	100 300 km	2 990 000 Ft	100 300 km	74 LE	1560 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
60	SKODA  Rapid	RAPID 1.2 TSI Ambition Mo-i - VÉGIG SZERVIZELT - MEGKÍMÉLT ÁLLAPOTÚ!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2017. 01.	178 095 km	2 998 000 Ft	178 095 km	108 LE	1197 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
61	PEUGEOT  2008	2008 1.2 VTi PureTech Active 1 Év garanciávalMagyarországi! 68.125km!	BK 2020 Kft.	(III. kerület)	Minősített Prémium kereskedő	2014. 03.	68 000 km	2 999 000 Ft	68 000 km	82 LE	1199 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
62	FIAT  500	500 1.2 8V Lounge EU6	SunsetCars	(Tatabánya)	Minősített Prémium kereskedő	2013. 11.	101 690 km	2 999 000 Ft	101 690 km	68 LE	1242 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
63	FORD  Fiesta	Fiesta 1.25 Ambiente	Rubin Autókereskedés	(Pápa)	Minősített Prémium kereskedő	2015. 06.	107 169 km	2 999 000 Ft	107 169 km	60 LE	1242 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
64	OPEL  Adam	ADAM 1.4 Slam EURO6 LEKÉRDEZHETŐ 59e KM FUTÁS - FÉLBŐR - DIGIT KLÍMA!!!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2015. 01.	59 011 km	3 098 000 Ft	59 011 km	85 LE	1398 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
65	PEUGEOT  2008	2008 1.2 PureTech Active 	Bécsi Autópark Kft.	(III. kerület)	Minősített Prémium kereskedő	2014. 01.	138 300 km	2 980 000 Ft	138 300 km	82 LE	1199 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
66	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2019. 01.	83 165 km	3 189 000 Ft  + Áfa	83 165 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
67	OPEL  Astra	Astra Sedan 1.6 Enjoy EURO6 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2017. 02.	188 531 km	3 199 000 Ft	188 531 km	116 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
68	PEUGEOT  Partner	Partner 1.6 BlueHDi Active L2 EURO6	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2017. 12.	139 158 km	3 199 000 Ft  + Áfa	139 158 km	100 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
69	OPEL  Astra	Astra Sedan 1.6 Enjoy EURO6 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2017. 02.	188 531 km	3 199 000 Ft	188 531 km	116 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
70	TOYOTA  Auris	Auris Touring Sports 1.33 Live	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2014. 03.	173 035 km	3 199 000 Ft	173 035 km	99 LE	1329 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
71	PEUGEOT  2008	2008 1.2 e-VTi Active 2TR	Autó Néró Kelenföld Kft.	(XI. kerület)	Minősített Prémium kereskedő	2014. 05.	164 000 km	3 199 000 Ft	164 000 km	82 LE	1199 cm3	Benzin	Crossover	Használt	Eladó	5 ajtós	5 fő	Automatizált
72	HYUNDAI  i30	i30 1.4i Comfort	Rubin Autókereskedés	(Pápa)	Minősített Prémium kereskedő	2013. 11.	133 980 km	3 199 000 Ft	133 980 km	99 LE	1396 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
73	SEAT  Toledo	Toledo 1.2 TSI Reference Start&Stop	Postaautó Duna Zrt.	(Debrecen)	Márkakereskedő	2017. 08.	140 142 km	3 290 000 Ft	140 142 km	109 LE	1197 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
74	CITROEN  C4 Picasso	C4 Picasso 1.6 VTi Intensive 	Master Car	(Szolnok)	Minősített Prémium kereskedő	2013. 10.	125 616 km	3 290 000 Ft	125 616 km	120 LE	1598 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
75	OPEL  Astra	Astra 1.6 Selection 	Vorenus Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2014. 05.	144 000 km	3 299 000 Ft	144 000 km	116 LE	1598 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
76	PEUGEOT  308	308 SW 1.6 BlueHDi Active 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2017. 11.	186 720 km	3 389 000 Ft	186 720 km	99 LE	1560 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
77	FORD  Focus	Focus 1.6 Ti-VCT Ambiente 	MOM Auto Kft.	(III. kerület)	Minősített Prémium kereskedő	2014. 01.	68 000 km	3 390 000 Ft	68 000 km	105 LE	1596 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
78	RENAULT  Clio	CLIO Grandtour 1.2 16V Life SÉRÜLÉSMENTES - 97e KM FUTÁS - MÁSODIK TULAJTÓL!!!	Roland-Autó Kft.	(Edelény)	Minősített Prémium kereskedő	2016. 01.	97 641 km	3 398 000 Ft	97 641 km	72 LE	1149 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
79	SKODA  Rapid	RAPID 1.0 Tsi Ambition 1 Év garanciávalMagyarországi!Leinformálható!Áfás!	BK 2020 Kft.	(III. kerület)	Minősített Prémium kereskedő	2017. 09.	176 000 km	3 399 000 Ft	176 000 km	95 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
80	FORD  Focus	Focus 1.5 TDCI Technology 	Bull-Car Kft.	(Kaposvár)	Minősített Prémium kereskedő	2015. 09.	165 804 km	3 399 000 Ft	165 804 km	95 LE	1499 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
81	SEAT  Ibiza	Ibiza 1.0 TSI Start&Stop Reference	Autó Néró Kelenföld Kft.	(XI. kerület)	Minősített Prémium kereskedő	2017. 06.	81 000 km	3 399 000 Ft	81 000 km	95 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
82	SEAT  Toledo	Toledo 1.0 TSI Reference 	Tipp Autó	(Debrecen)	Márkakereskedő	2017. 12.	146 869 km	3 449 000 Ft	146 869 km	110 LE	999 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
637	BMW  4-es sorozat	420d xDrive (Automata) 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2021. 04.	44 039 km	21 499 000 Ft	44 039 km	190 LE	1995 cm3	Hibrid	Kupé	Használt	Eladó	5 ajtós	5 fő	Tiptronic
638	TOYOTA  Land Cruiser	Land Cruiser Prado 2.8 D-4D Executive (Automata) 	Meszlényi-Autó Kft.	(Békéscsaba)	Márkakereskedő	2021. 04.	48 314 km	21 590 000 Ft	48 314 km	204 LE	2755 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Tiptronic
639	TOYOTA  Land Cruiser	Land Cruiser Prado 2.8 D-4D Executive VIP Family (Automata) 	Meszlényi-Autó Kft.	(Békéscsaba)	Márkakereskedő	2023. 07.	7 325 km	25 990 000 Ft	7 325 km	204 LE	2755 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	7 fő	Tiptronic
640	MERCEDES-BENZ  G-osztály	G 350 d (Automata) Designo bőr / szellőztetés / adaptív tempomat / Harman/Kardon / hátsó multimédia	Auto Palace Buda Kft.	(XI. kerület)	Márkakereskedő	2017. 01.	102 868 km	29 990 000 Ft	102 868 km	245 LE	2987 cm3	Dízel	Terepjáró	Használt	Eladó	5 ajtós	5 fő	Tiptronic
641	BMW  7-es sorozat	730d xDrive (Automata) 	Joker Jármű	(Kecskemét)	Minősített Prémium kereskedő	2021. 02.	14 792 km	29 990 000 Ft	14 792 km	286 LE	2993 cm3	Hibrid	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Tiptronic
650	SKODA  Fabia	Fabia Combi 1.2 12V Ambiente	Suzuki Szigetvár	(Szigetvár)	Márkakereskedő	2006. 05.	195 111 km	1 297 777 Ft	195 111 km	64 LE	1198 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
654	DACIA  Sandero	Sandero 1.2 Ambiance	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2012. 05.	197 199 km	1 499 000 Ft	197 199 km	75 LE	1149 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
655	CHEVROLET  Spark	Spark 1.0 	Verda Hungária Kft.	(Szekszárd)	Minősített Prémium kereskedő	2010. 10.	137 000 km	1 499 000 Ft	137 000 km	68 LE	995 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
656	FORD  Mondeo	MONDEO 2.0 TDCi Business magyarországi. 2 tulajdonos. kitűnő műszaki állapotban	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2014. 05.	600 639 km	1 519 000 Ft	600 639 km	140 LE	1997 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
657	TOYOTA  Corolla	Corolla 1.4 D-4D Sol	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2005. 08.	184 000 km	1 599 000 Ft	184 000 km	90 LE	1364 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
658	MERCEDES-BENZ  A-osztály	A 160 CDI Avantgarde sérülésmentes. szervizkönyves	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2010. 11.	268 010 km	1 699 000 Ft	268 010 km	82 LE	1991 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
659	RENAULT  Kangoo	Kangoo Express 1.5 dCi Business 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2013. 06.	122 500 km	1 789 000 Ft  + Áfa	122 500 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
662	OPEL  Zafira	Zafira 1.6 Enjoy	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2009. 07.	168 000 km	1 799 000 Ft	168 000 km	115 LE	1598 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
664	FIAT  Fiorino	Fiorino 1.3 Mjet E5	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2016. 08.	225 550 km	1 847 000 Ft  + Áfa	225 550 km	75 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
665	PEUGEOT  5008	5008 1.6 HDi Allure 7 személyes. panoráma tető. magyarországi. frissen szervizelve!	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2011. 06.	339 678 km	1 849 000 Ft	339 678 km	112 LE	1560 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	7 fő	Manuális
666	VOLKSWAGEN  Polo	POLO V 1.2 60 Trendline	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2010. 05.	229 934 km	1 879 000 Ft	229 934 km	60 LE	1198 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
667	KIA  Sportage	SPORTAGE 2.0 CRDi 2WD. bőr belső. vonóhorog	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2006. 09.	299 696 km	1 899 000 Ft	299 696 km	140 LE	1991 cm3	Dízel	Crossover	Használt	Eladó	5 ajtós	5 fő	Manuális
668	DACIA  Logan	LOGAN 1.2 Access magyarországi. szervizkönyves. 65114 km!!!	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2014. 11.	65 114 km	1 899 000 Ft	65 114 km	75 LE	1149 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
669	HONDA  FR-V	FR-V 1.7 Comfort	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2005. 05.	96 000 km	1 899 000 Ft	96 000 km	125 LE	1668 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	6 fő	Manuális
670	SEAT  Ibiza	IBIZA ST 1.6 CR TDI Reference magyarországi. szervizkönyves	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2015. 03.	329 077 km	1 949 000 Ft	329 077 km	90 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
671	RENAULT  Clio	Clio 1.2 16V Trend&Style	JIB Auto	(Debrecen)	Minősített Prémium kereskedő	2012. 10.	129 242 km	1 950 000 Ft	129 242 km	75 LE	1149 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
672	VOLVO  S40	S40 2.0 D Kinetic magyarországi. vezetett szervizkönyves. leinformálható	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2010. 01.	279 249 km	1 999 000 Ft	279 249 km	136 LE	1998 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
677	PEUGEOT  208	208 1.6 BlueHDi Van Active	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2017. 09.	125 524 km	2 140 000 Ft  + Áfa	125 524 km	75 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
678	PEUGEOT  208	208 1.6 BlueHDi Van Active	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2017. 09.	115 589 km	2 140 000 Ft  + Áfa	115 589 km	75 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
679	SKODA  Roomster	Praktik 1.2 12V	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2015. 04.	106 833 km	2 140 000 Ft  + Áfa	106 833 km	70 LE	1198 cm3	Benzin	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
680	OPEL  Combo	Combo Van 1.3 CDTI L1H1 2.2t	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2015. 11.	185 235 km	2 145 000 Ft  + Áfa	185 235 km	90 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
683	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2019. 04.	213 194 km	2 197 000 Ft  + Áfa	213 194 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
684	TOYOTA  Avensis	AVENSIS Wagon 2.2 DCAT Sol Navi szervizkönyves. leinformálható. vonóhorog	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2010. 10.	342 719 km	2 199 000 Ft	342 719 km	177 LE	2231 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
685	VOLKSWAGEN  Passat	PASSAT VII 1.4 TSI Comfortline vezérlés és kuplung cserélve. szervizkönyves. leinformálható	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2012. 03.	355 997 km	2 199 000 Ft	355 997 km	122 LE	1390 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
686	KIA  Cee'd	Pro Cee'd 1.4 EX	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2011. 05.	97 000 km	2 199 000 Ft	97 000 km	90 LE	1396 cm3	Benzin	Ferdehátú	Használt	Eladó	3 ajtós	5 fő	Manuális
687	HYUNDAI  i20	i20 1.25 Life AC	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2012. 06.	98 000 km	2 199 000 Ft	98 000 km	85 LE	1248 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
689	MITSUBISHI  Lancer	Sportback 1.5 Invite  137.000 Km!!	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2010. 06.	137 000 km	2 199 000 Ft	137 000 km	109 LE	1499 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
690	PEUGEOT  508	508 1.6 HDi Active gyöngyház fehér. magyarországi. nagy szerviz elvégezve. leinformálható	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2012. 02.	231 864 km	2 222 222 Ft	231 864 km	112 LE	1560 cm3	Dízel	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
691	OPEL  Combo	Combo Van 1.3 CDTI L1H1 2.2t	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2015. 11.	169 260 km	2 245 000 Ft  + Áfa	169 260 km	90 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
692	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2017. 11.	122 455 km	2 277 000 Ft  + Áfa	122 455 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
698	SAAB  9-3	9-3 Cabrio 1.9TiDSPF Vector Aut.	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2006. 06.	197 936 km	2 299 000 Ft	197 936 km	150 LE	1910 cm3	Dízel	Kabrió	Használt	Eladó	2 ajtós	4 fő	Tiptronic
699	PEUGEOT  Partner	Partner 1.6 HDi Active L1	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2016. 06.	162 835 km	2 340 000 Ft  + Áfa	162 835 km	90 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
700	OPEL  Combo	Combo Van 1.4 T CNG L1H1 2.4t E6	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2015. 02.	109 922 km	2 347 000 Ft  + Áfa	109 922 km	120 LE	1368 cm3	Benzin/Gáz	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
701	PEUGEOT  208	208 1.5 BlueHDi Van Active 	Shick-R Kft.	(Eger)	Márkakereskedő	2020. 02.	176 520 km	2 390 000 Ft  + Áfa	176 520 km	99 LE	1499 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
702	PEUGEOT  208	208 1.5 BlueHDi Van Active 	Shick-R Kft.	(Eger)	Márkakereskedő	2020. 02.	177 890 km	2 390 000 Ft  + Áfa	177 890 km	99 LE	1499 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
703	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2019. 05.	220 349 km	2 399 000 Ft  + Áfa	220 349 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
704	SKODA  Octavia	OCTAVIA Combi 1.6 CR TDI Active DPF magyarországi. leinformálható	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2013. 04.	292 083 km	2 399 000 Ft	292 083 km	105 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
707	NISSAN  Note	NOTE 1.2 Visia Edition szervizkönyves. leinformálható. vonóhorog	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2014. 02.	182 980 km	2 444 444 Ft	182 980 km	80 LE	1198 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
708	BMW  3-as sorozat	320d Touring EfficientDynamics leinformálható. szervizkönyves. vezérlés cserélve	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2011. 08.	247 433 km	2 449 000 Ft	247 433 km	163 LE	1995 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
709	HONDA  Jazz	Jazz 1.2 Trend Plus	4 Motors Kft.	(Dunakeszi)	Minősített Prémium kereskedő	2010. 03.	132 846 km	2 499 000 Ft	132 846 km	90 LE	1198 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
710	OPEL  Combo	Combo Van 1.6 CDTI L1H1 2.2t	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2016. 03.	135 080 km	2 540 000 Ft  + Áfa	135 080 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
711	OPEL  Combo	Combo Van 1.6 CDTI L1H1 2.2t	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2016. 04.	132 114 km	2 547 000 Ft  + Áfa	132 114 km	105 LE	1589 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
712	VOLKSWAGEN  Touran	TOURAN 1.6 CR TDI Comfortline szervizkönyves. nagy szerviz elvégezve. leinformálható	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2013. 04.	354 761 km	2 549 000 Ft	354 761 km	105 LE	1598 cm3	Dízel	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
713	OPEL  Meriva	Meriva 1.4 T Selection	Juhász Kft.	(Pécs)	Minősített Prémium kereskedő	2012. 03.	108 000 km	2 598 995 Ft	108 000 km	120 LE	1364 cm3	Benzin	Egyterű	Használt	Eladó	5 ajtós	5 fő	Manuális
714	AUDI  A1	A1 1.6 TDI DPF Attraction nagy szerviz elvégezve	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2011. 09.	215 867 km	2 599 000 Ft	215 867 km	105 LE	1598 cm3	Dízel	Ferdehátú	Használt	Eladó	3 ajtós	4 fő	Manuális
715	PEUGEOT  Partner	Partner 1.6 BlueHDi Active L1 EURO6	Nomega Kft.	(Debrecen)	Minősített Prémium kereskedő	2017. 10.	143 389 km	2 599 000 Ft  + Áfa	143 389 km	100 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
716	RENAULT  Clio	Clio Grandtour 1.5 dCi Alizé	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2016. 12.	240 441 km	2 647 000 Ft	240 441 km	75 LE	1461 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
717	DACIA  Sandero	Sandero 0.9 TCe Arctic	Szabó Suzuki Mazda Márkakereskedés és Szerviz	(Kazincbarcika)	Márkakereskedő	2015. 11.	111 506 km	2 649 000 Ft	111 506 km	90 LE	898 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
718	RENAULT  Fluence	Fluence 1.6 Authentique	Szabó Suzuki Mazda Márkakereskedés és Szerviz	(Kazincbarcika)	Márkakereskedő	2015. 03.	126 613 km	2 699 000 Ft	126 613 km	110 LE	1598 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
721	SKODA  Fabia	Fabia Combi 1.4 TDi Ambition	Autó Dual	(Békéscsaba)	Minősített Prémium kereskedő	2015. 06.	238 202 km	2 747 000 Ft	238 202 km	90 LE	1422 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
722	OPEL  Astra	ASTRA J Sports Tourer 2.0 CDTI Enjoy (Automata) szervizkönyves. leinformálható	Miamax Autókereskedés	(Szombathely)	Minősített Prémium kereskedő	2014. 05.	213 531 km	2 749 000 Ft	213 531 km	165 LE	1956 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Tiptronic
