	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
13844	TOYOTA  Yaris	Yaris 1.5 HSD Executive (Automata) 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2012. 10.	158 752 km	3 990 000 Ft	158 752 km	75 LE	1497 cm3	Hibrid	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13845	VOLKSWAGEN  Golf	Golf Variant 1.6 TDI BMT Trendline DSG 	Tipp Autó	(Debrecen)	Márkakereskedő	2016. 03.	206 221 km	3 990 000 Ft	206 221 km	110 LE	1598 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Automata
13846	TOYOTA  Yaris	Yaris 1.5 HSD Active (Automata) 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2013. 10.	140 367 km	3 990 000 Ft	140 367 km	75 LE	1497 cm3	Hibrid	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Fokozatmentes
13847	KIA  Rio	RIO 1.25 MPI LX Magyar Klima Bluetooth 2gyári kulcs	A Kedvenc Kereskedésem	(III. kerület)	Minősített Prémium kereskedő	2018. 10.	113 532 km	3 990 000 Ft	113 532 km	85 LE	1248 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
13848	FORD  Focus	Focus 1.6 Ti-VCT Technology 	Bázis Autó	(Hódmezővásárhely)	Minősített Prémium kereskedő	2017. 03.	149 350 km	3 990 000 Ft	149 350 km	125 LE	1596 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
13849	PEUGEOT  308	308 CC 2.0 HDi Sport Pack 	Master Car	(Szolnok)	Minősített Prémium kereskedő	2011. 08.	180 955 km	3 990 000 Ft	180 955 km	163 LE	1997 cm3	Dízel	Kabrió	Használt	Eladó	2 ajtós	4 fő	Manuális
13850	MERCEDES-BENZ  E-osztály	300 E /1.TULAJ/GAR.KM/ OT	Zemandia Autoland	(Kiskunfélegyháza)	Minősített Prémium kereskedő	1991. 09.	158 952 km	3 990 000 Ft	158 952 km	180 LE	2960 cm3	Benzin	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
13851	FORD  Connect	Transit Connect 200 1.5 TDCi SWB Trend 	A Megbízható Kereskedésem Kft.	(III. kerület)	Minősített Prémium kereskedő	2017. 07.	96 000 km	3 990 000 Ft  + Áfa	96 000 km	101 LE	1498 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13852	PEUGEOT  Expert	Expert 2.0 BlueHDi L2 (3 személyes ) Premium 	Fastback Kft.	(XVI. kerület)	Minősített Prémium kereskedő	2017. 03.	258 500 km	3 990 000 Ft  + Áfa	258 500 km	122 LE	1997 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	3 fő	Manuális
13853	VOLKSWAGEN  Golf	Golf Variant 1.4 TSi BMT Comfortline	Affix 2002 Bt.	(II. kerület)	Minősített Prémium kereskedő	2013. 09.	196 200 km	3 990 000 Ft	196 200 km	122 LE	1395 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13854	PEUGEOT  308	308 SW 1.5 BlueHDi Access EURO6.2 MO-i gépjármű/Garantált 129e km/Első tulajtól/ÁFÁ-S/Garanciával!	Business Lease Hungary Kft.	(Budaörs)	Minősített Prémium kereskedő	2019. 10.	129 800 km	3 990 000 Ft	129 800 km	100 LE	1499 cm3	Dízel	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
13855	MERCEDES-BENZ  CLS-osztály	CLS 350 CGI (Automata) 	Autó West Wind Kft.	(XI. kerület)	Minősített Prémium kereskedő	2007. 11.	314 000 km	3 990 000 Ft	314 000 km	292 LE	3498 cm3	Benzin	Kupé	Használt	Eladó	4 ajtós	4 fő	Tiptronic
13856	OPEL  Insignia	Insignia 2.0 CDTI Cosmo (Automata) 	Tormási Autóház	(Kecskemét)	Márkakereskedő	2015. 10.	181 039 km	3 990 000 Ft	181 039 km	163 LE	1956 cm3	Dízel	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Tiptronic
